TourID_Dimension,TourHasLodging,TourAccommodationName,ProgramsBu,Close Rate Curr,Average Sale Curr,VPGnn Curr,Rescind Vol,Rescind%(Sales),,,,,
324980,TRUE,,Outbound,1,"$33,690 ","$33,690 ",$0 ,0,,,,,
325031,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,"$19,115 ",1,,,,,
325295,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
325364,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
325475,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
325578,TRUE,Gold Point,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
325673,TRUE,,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
325720,TRUE,Grand Timber,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
325744,TRUE,Grand Timber,Outbound,1,"$19,290 ","$19,290 ",$0 ,0,,,,,
326059,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
326079,TRUE,Breck Inn,Outbound,1,"$15,490 ","$15,490 ",$0 ,0,,,,,
326266,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
326655,TRUE,Gold Point,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
326746,TRUE,GC8,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
326752,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
326824,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
326896,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327201,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327204,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327214,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327352,TRUE,Breck Inn,Outbound,1,"$42,300 ","$42,300 ",$0 ,0,,,,,
327424,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327549,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327569,TRUE,Breck Inn,Outbound,1,"$19,916 ","$19,916 ",$0 ,0,,,,,
327637,TRUE,Beaver Run,Summit Co,1,"$38,000 ","$38,000 ",$0 ,0,,,,,
327725,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327792,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327877,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
327895,TRUE,GC8,Summit Co,0,$0 ,$0 ,$0 ,0,,,,,
327959,TRUE,GL7,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
328103,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
328399,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
328422,TRUE,Breck Inn,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
328613,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
328731,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
328734,TRUE,Grand Timber,Outbound,1,"$13,990 ","$13,990 ",$0 ,0,,,,,
328919,TRUE,Breck Inn,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
329000,TRUE,GL7,Outbound,1,"$36,400 ","$36,400 ",$0 ,0,,,,,
329203,TRUE,Breck Inn,Outbound,1,"$14,490 ","$14,490 ",$0 ,0,,,,,
329212,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
329509,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,"$19,990 ",1,,,,,
329569,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
329662,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
329664,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
